lambda,stepsize,epsilon,batch_size,layer_number,neuron,activation,activation_output,initialization,seed,error_train,error_test,error_train_variance,error_test_variance,acc_train,acc_test,acc_train_variance,acc_validation_variance
0,0.001,0.0009,32,1,7,tanh,tanh,uniform,40,0.023848120711923843,0.06683341140258621,9.72702832644584e-06,0.0003542014105244545,1.0,0.9702380952380952,0.0,0.0009212018140589556
0,0.001,0.0009,32,1,7,tanh,tanh,uniform,50,0.047263264946018346,0.13949548863890507,8.445016789294628e-06,0.0006993379141054207,0.9732142857142857,0.8333333333333334,5.3146258503400986e-05,0.0017715419501133792
0,0.001,0.0009,169,1,3,tanh,tanh,uniform,0,0.18551409046209377,0.26371800971379017,6.617982425180355e-05,0.0005056704509831302,0.6994047619047619,0.5654761904761905,0.002249858276643988,0.0004960317460317464
0,0.001,0.0009,169,1,3,tanh,tanh,uniform,10,0.19853880126325618,0.2448426073417662,5.458485949280962e-05,0.0009383375424833329,0.6428571428571429,0.5416666666666666,0.000690901360544218,0.0019841269841269845
0,0.001,0.0009,169,1,3,tanh,tanh,uniform,20,0.11828564605427687,0.18856412145795395,0.00028660046760777165,0.0017082074860758016,0.875,0.7619047619047619,0.0038796768707483,0.005172902494331067
0,0.001,0.0009,169,1,3,tanh,tanh,uniform,40,0.07376465047839688,0.1315854035572431,0.00010347208020416221,1.168421433714537e-05,0.9702380952380952,0.8273809523809524,0.0012932256235827684,0.0013463718820861685
0,0.001,0.0009,169,1,3,tanh,tanh,uniform,50,0.10254247466699522,0.12426719222075037,0.00021353108248720453,7.786584217445951e-05,0.9255952380952381,0.9047619047619048,0.0009212018140589588,0.0036848072562358307
0,0.001,0.0009,169,1,7,tanh,tanh,uniform,0,0.02277577768642069,0.07207539178420332,2.8890227964758967e-05,0.00018799402043879546,0.9970238095238096,0.9404761904761904,1.7715419501133662e-05,0.001346371882086165
0,0.001,0.0009,169,1,7,tanh,tanh,uniform,10,0.04617945814668976,0.1370854379359789,8.781551409896813e-05,7.145719742811034e-05,0.9851190476190476,0.8095238095238096,0.00023030045351473912,0.0002834467120181403
0,0.001,0.0009,169,1,7,tanh,tanh,uniform,20,0.0560810063105153,0.17011560471517484,3.397638011527626e-05,0.0004308483463403641,0.9851190476190476,0.7202380952380952,0.00012400793650793672,0.0030470521541950102
0,0.001,0.0009,169,1,7,tanh,tanh,uniform,40,0.02809932716176371,0.06994272841768301,7.460189914105081e-06,0.0009716043803837893,1.0,0.9345238095238094,0.0,0.004535147392290245
0,0.001,0.0009,169,1,7,tanh,tanh,uniform,50,0.0876069882407306,0.17396976521425256,0.0003452690880984913,0.0024370046052435597,0.9464285714285715,0.7738095238095237,0.0019664115646258504,0.011550453514739227
