lambda;stepsize;momentum;epsilon;batch_size;layer_number;neuron;activation;activation_output;initialization;error_train;error_test;error_train_variance;error_test_variance
0;0,07;0,2;0,0009;64;1;30;tanh;linear;uniform;nan;nan;nan;nan
0;0,07;0,2;0,0009;64;1;30;tanh;linear;xavier;nan;nan;nan;nan
0;0,07;0,2;0,0009;64;1;30;sigmoid;linear;uniform;nan;nan;nan;nan
0;0,07;0,2;0,0009;64;1;30;sigmoid;linear;xavier;nan;nan;nan;nan
0;0,07;0,2;0,0009;64;3;30;tanh;linear;uniform;nan;nan;nan;nan
0;0,07;0,2;0,0009;64;3;30;tanh;linear;xavier;nan;nan;nan;nan
0;0,07;0,2;0,0009;64;3;30;sigmoid;linear;uniform;nan;nan;nan;nan
0;0,07;0,2;0,0009;128;1;30;tanh;linear;uniform;nan;nan;nan;nan
0;0,07;0,2;0,0009;128;1;30;tanh;linear;xavier;nan;nan;nan;nan
0;0,07;0,2;0,0009;128;1;30;sigmoid;linear;uniform;nan;nan;nan;nan
0;0,07;0,2;0,0009;128;1;30;sigmoid;linear;xavier;nan;nan;nan;nan
0;0,07;0,2;0,0009;128;3;30;tanh;linear;uniform;nan;nan;nan;nan
0;0,07;0,2;0,0009;128;3;30;tanh;linear;xavier;nan;nan;nan;nan
0,0005;0,05;0,2;0,0009;64;1;30;tanh;linear;uniform;nan;nan;nan;nan
0,0005;0,05;0,2;0,0009;64;1;30;tanh;linear;xavier;nan;nan;nan;nan
0,0005;0,05;0,2;0,0009;64;1;30;sigmoid;linear;uniform;nan;nan;nan;nan
0,0005;0,05;0,2;0,0009;64;1;30;sigmoid;linear;xavier;nan;nan;nan;nan
0,0005;0,05;0,2;0,0009;64;3;30;tanh;linear;uniform;nan;nan;nan;nan
0,0005;0,05;0,2;0,0009;64;3;30;tanh;linear;xavier;nan;nan;nan;nan
0,0005;0,05;0,2;0,0009;64;3;30;sigmoid;linear;uniform;nan;nan;nan;nan
0,0005;0,05;0,2;0,0009;128;1;30;tanh;linear;uniform;nan;nan;nan;nan
0,0005;0,05;0,2;0,0009;128;1;30;tanh;linear;xavier;nan;nan;nan;nan
0,0005;0,05;0,2;0,0009;128;1;30;sigmoid;linear;uniform;nan;nan;nan;nan
0,0005;0,05;0,2;0,0009;128;1;30;sigmoid;linear;xavier;nan;nan;nan;nan
0,0005;0,05;0,2;0,0009;128;3;30;tanh;linear;uniform;nan;nan;nan;nan
0,0005;0,05;0,2;0,0009;128;3;30;tanh;linear;xavier;nan;nan;nan;nan
0,0005;0,05;0,2;0,0009;128;3;30;sigmoid;linear;uniform;nan;nan;nan;nan
0,0005;0,07;0,2;0,0009;64;1;30;tanh;linear;uniform;nan;nan;nan;nan
0,0005;0,07;0,2;0,0009;64;1;30;tanh;linear;xavier;nan;nan;nan;nan
0,0005;0,07;0,2;0,0009;64;1;30;sigmoid;linear;uniform;nan;nan;nan;nan
0,0005;0,07;0,2;0,0009;64;1;30;sigmoid;linear;xavier;nan;nan;nan;nan
0,0005;0,07;0,2;0,0009;64;3;30;tanh;linear;uniform;nan;nan;nan;nan
0,0005;0,07;0,2;0,0009;64;3;30;tanh;linear;xavier;nan;nan;nan;nan
0,0005;0,07;0,2;0,0009;64;3;30;sigmoid;linear;uniform;nan;nan;nan;nan
0,0005;0,07;0,2;0,0009;128;1;30;tanh;linear;uniform;nan;nan;nan;nan
0,0005;0,07;0,2;0,0009;128;1;30;tanh;linear;xavier;nan;nan;nan;nan
0,0005;0,07;0,2;0,0009;128;1;30;sigmoid;linear;uniform;nan;nan;nan;nan
0,0005;0,07;0,2;0,0009;128;1;30;sigmoid;linear;xavier;nan;nan;nan;nan
0,0005;0,07;0,2;0,0009;128;3;30;tanh;linear;uniform;nan;nan;nan;nan
0,0005;0,07;0,2;0,0009;128;3;30;tanh;linear;xavier;nan;nan;nan;nan
