lambda,stepsize,momentum,epsilon,batch_size,layer_number,neuron,activation,activation_output,initialization,error_train,error_test,error_train_variance,error_test_variance
0.0005,0.01,0.0,0.0009,128,1,80,tanh,linear,xavier,3.2344510395427206,3.301113204835327,0.0023167889806285104,0.010166310844496733
0.0005,0.01,0.0,0.0009,128,1,80,sigmoid,linear,uniform,3.2670306645455205,3.3388267353930665,0.0009480809368751339,0.002312380673937061
0.0005,0.01,0.0,0.0009,128,1,80,sigmoid,linear,xavier,3.3622159644061003,3.4008453650821515,0.001959576252383149,0.004697516131680131
0.0005,0.01,0.0,0.0009,128,1,200,tanh,linear,uniform,2.6675465195879755,2.915026823871297,0.0039046298199622085,0.009569293053170417
0.0005,0.01,0.0,0.0009,128,1,200,tanh,linear,xavier,3.239435693414734,3.299129157936823,0.0015075448785486208,0.00588243254572541
0.0005,0.01,0.0,0.0009,128,1,200,sigmoid,linear,uniform,3.174402730552248,3.2516840667071403,0.001515842727663535,0.00649226422499605
0.0005,0.01,0.0,0.0009,128,1,200,sigmoid,linear,xavier,3.3639956235194775,3.423733389623694,0.000673067385307147,0.0051272958774946885
0.0005,0.07,0.0,0.0009,64,1,30,tanh,linear,uniform,3.2649970341240007,3.3542946328654413,0.000857271606976376,0.0017609141335098437
0.0005,0.07,0.0,0.0009,64,1,30,tanh,linear,xavier,3.1887767231380106,3.2685278861342932,0.0011628403288615437,0.0022411102328795287
0.0005,0.07,0.0,0.0009,64,1,30,sigmoid,linear,uniform,3.3002857059013633,3.3720144915068517,0.0015182894430193546,0.0058969331453016345
0.0005,0.07,0.0,0.0009,64,1,30,sigmoid,linear,xavier,3.3860621006234237,3.4216117985815306,0.0006215034602719285,0.010058733103778954
0.0005,0.07,0.0,0.0009,64,1,80,tanh,linear,uniform,2.964733840512139,3.1870630252503243,0.001232429480450813,0.005402880190243281
0.0005,0.07,0.0,0.0009,64,1,80,tanh,linear,xavier,3.120332892466912,3.2536355559006753,0.0023120525441153623,0.010828354251472326
0.0005,0.07,0.0,0.0009,64,1,80,sigmoid,linear,uniform,3.2358924439369865,3.3046467387909737,0.0030291042259041005,0.011053366504522105
0.0005,0.07,0.0,0.0009,64,1,80,sigmoid,linear,xavier,3.4177669209392505,3.465935143138843,0.011135118727041447,0.0050635473739087085
0.0005,0.07,0.0,0.0009,64,1,200,tanh,linear,uniform,2.6317576392987827,3.023426574631088,0.007632185730988676,0.009901100008472191
0.0005,0.07,0.0,0.0009,64,1,200,tanh,linear,xavier,3.1323891072232573,3.224821442190074,0.0018389289818640036,0.002383676254199841
0.0005,0.07,0.0,0.0009,64,1,200,sigmoid,linear,uniform,3.1767432044298527,3.291003775735311,0.03073964496884843,0.0076558706297253434
0.0005,0.07,0.0,0.0009,64,1,200,sigmoid,linear,xavier,3.3692596794161602,3.4044804411185674,0.0018048928071505465,0.0024315511819544946
0.0005,0.07,0.0,0.0009,128,1,30,tanh,linear,uniform,3.247625664857632,3.354104303581858,0.0011918340961250642,0.003179339635824261
0.0005,0.07,0.0,0.0009,128,1,30,tanh,linear,xavier,3.1433594489959042,3.2137087135560045,0.00039831500558064873,0.0016348658824485273
0.0005,0.07,0.0,0.0009,128,1,30,sigmoid,linear,uniform,3.257400685152185,3.3221691496870083,0.0020397082770691934,0.005200292537105888
0.0005,0.07,0.0,0.0009,128,1,30,sigmoid,linear,xavier,3.3464617246511352,3.3905900272503806,0.0010829146539095495,0.0017062840556823352
0.0005,0.07,0.0,0.0009,128,1,80,tanh,linear,uniform,2.8906890659771824,3.1173919561110837,0.0002663857832399062,0.0020976509686420255
0.0005,0.07,0.0,0.0009,128,1,80,tanh,linear,xavier,3.067814236231428,3.2215037182017885,0.0003307857270437179,0.0005540770201083166
0.0005,0.07,0.0,0.0009,128,1,80,sigmoid,linear,uniform,3.1584918817023,3.2393527011827175,0.0021741920791926157,0.00616595192368137
0.0005,0.07,0.0,0.0009,128,1,80,sigmoid,linear,xavier,3.3452235722875607,3.3928777619902295,0.003389497283136197,0.00029723558268594395
0.0005,0.07,0.0,0.0009,128,1,200,tanh,linear,uniform,2.6167727262908635,3.0600512807537474,0.003083662638504242,0.03344309286905204
0.0005,0.07,0.0,0.0009,128,1,200,tanh,linear,xavier,3.09023882241956,3.1930460180237095,0.0024392819022772375,0.00708285726285005
0.0005,0.07,0.0,0.0009,128,1,200,sigmoid,linear,uniform,3.058216747823882,3.183981795922987,0.0031292920251418175,0.011547033876827114
0.0005,0.07,0.0,0.0009,128,1,200,sigmoid,linear,xavier,3.3672975484667287,3.410100162402737,0.003593454526535103,0.01702428888871586
